iter	RMSE
0	77847.15872
1	74097.22362
2	70542.32575
3	67159.58223
4	63942.92459
5	60885.52411
6	57997.88294
7	55226.61903
8	52599.70535
9	50126.48921
10	47770.45377
11	45544.07864
12	43406.61764
13	41368.08872
14	39442.82243
15	37613.33356
16	35880.74918
17	34205.69899
18	32636.81101
19	31159.9039
20	29750.1151
21	28409.2913
22	27145.85163
23	25926.85924
24	24772.18691
25	23681.95043
26	22637.424
27	21655.61701
28	20728.72878
29	19838.89778
30	18994.81935
31	18206.48004
32	17444.2056
33	16728.33969
34	16052.73307
35	15406.77379
36	14805.86702
37	14233.72926
38	13704.88292
39	13189.54612
40	12705.69929
41	12250.20213
42	11819.909
43	11418.83819
44	11040.44631
45	10684.19106
46	10348.4081
47	10033.73063
48	9738.779389
49	9462.075797
50	9206.307595
51	8970.624129
52	8744.975934
53	8534.816914
54	8332.980014
55	8147.435885
56	7980.545573
57	7819.832473
58	7675.412561
59	7534.238734
60	7403.676919
61	7282.234319
62	7171.70606
63	7074.448001
64	6977.699371
65	6890.905867
66	6807.244029
67	6730.168344
68	6659.272675
69	6596.852252
70	6535.215975
71	6479.203075
72	6424.024881
73	6376.857033
74	6330.631483
75	6283.875254
76	6246.557905
77	6210.050998
78	6174.101635
79	6140.078372
80	6107.28327
81	6077.052221
82	6050.624933
83	6024.504306
84	6000.197015
85	5975.725211
86	5953.284825
87	5932.879563
88	5911.581828
89	5895.226238
90	5872.440495
91	5855.900906
92	5839.370875
93	5822.811678
94	5809.198707
95	5795.602665
96	5783.222503
97	5771.322269
98	5761.536055
99	5748.035455
100	5733.589706
101	5725.382601
102	5710.750313
103	5700.25195
104	5691.624545
105	5680.207918
106	5668.897673
107	5658.950108
108	5648.694797
109	5640.848015
110	5632.946301
111	5626.877493
112	5619.308616
113	5613.63508
114	5607.878039
115	5601.136813
116	5594.120008
117	5587.961635
118	5579.623653
119	5573.923612
120	5568.299409
121	5560.608133
122	5555.274146
123	5546.995239
124	5538.841859
125	5530.285039
126	5526.235916
127	5521.802965
128	5515.371623
129	5505.789997
130	5499.989332
131	5494.635634
132	5487.540772
133	5482.930458
134	5475.219546
135	5471.855938
136	5467.67814
137	5460.312926
138	5457.54891
139	5452.150099
140	5448.492173
141	5444.560469
142	5440.709272
143	5436.950571
144	5433.568091
145	5429.47942
146	5426.472169
147	5419.55228
148	5413.857687
149	5406.11527
150	5401.361975
151	5395.044197
152	5388.253075
153	5385.160836
154	5380.374861
155	5375.365194
156	5371.909587
157	5367.357078
158	5364.057171
159	5358.531901
160	5354.949801
161	5350.691046
162	5345.456794
163	5341.268212
164	5335.916825
