iter	Passed	Remaining
0	161	80552
1	171	42773
2	181	30127
3	191	23734
4	201	19977
5	213	17548
6	223	15708
7	233	14338
8	243	13257
9	253	12407
10	263	11708
11	272	11100
12	282	10597
13	293	10180
14	303	9812
15	314	9503
16	325	9234
17	335	8973
18	345	8739
19	355	8534
20	366	8364
21	377	8200
22	388	8053
23	398	7907
24	408	7770
25	419	7652
26	430	7533
27	439	7415
28	450	7321
29	460	7219
30	471	7125
31	481	7035
32	491	6953
33	501	6879
34	512	6806
35	522	6737
36	533	6670
37	543	6607
38	553	6546
39	563	6485
40	574	6435
41	584	6377
42	595	6323
43	605	6274
44	616	6232
45	626	6186
46	637	6148
47	648	6110
48	659	6070
49	670	6038
50	681	5996
51	690	5952
52	702	5922
53	712	5884
54	723	5851
55	732	5809
56	742	5771
57	752	5733
58	763	5703
59	773	5675
60	783	5641
61	793	5606
62	804	5577
63	814	5550
64	826	5528
65	836	5499
66	846	5472
67	857	5446
68	867	5421
69	878	5395
70	888	5368
71	899	5345
72	909	5321
73	919	5293
74	930	5272
75	941	5251
76	950	5224
77	961	5200
78	971	5179
79	983	5162
80	994	5142
81	1004	5122
82	1015	5101
83	1025	5079
84	1035	5056
85	1046	5038
86	1057	5019
87	1067	5000
88	1078	4982
89	1089	4962
90	1100	4946
91	1110	4925
92	1120	4903
93	1131	4886
94	1142	4871
95	1155	4862
96	1168	4856
97	1184	4859
98	1196	4847
99	1209	4838
100	1222	4829
101	1235	4822
102	1248	4810
103	1261	4805
104	1274	4792
105	1288	4789
106	1302	4784
107	1313	4766
108	1323	4748
109	1333	4729
110	1343	4708
111	1353	4688
112	1364	4672
113	1373	4650
114	1382	4627
115	1395	4619
116	1404	4597
117	1415	4580
118	1425	4563
119	1436	4548
120	1446	4529
121	1458	4519
122	1469	4505
123	1479	4485
124	1488	4466
125	1499	4449
126	1510	4434
127	1528	4440
128	1538	4424
129	1548	4407
130	1558	4390
131	1568	4372
132	1579	4357
133	1590	4343
134	1601	4330
135	1611	4313
136	1621	4297
137	1631	4280
138	1641	4262
139	1651	4247
140	1662	4231
141	1671	4212
142	1681	4198
143	1691	4182
144	1701	4166
145	1710	4148
146	1720	4132
147	1731	4118
148	1741	4103
149	1752	4089
150	1764	4077
151	1773	4059
152	1783	4045
153	1794	4031
154	1805	4017
155	1814	4000
156	1824	3985
157	1834	3971
158	1845	3958
159	1856	3944
160	1866	3930
161	1875	3913
162	1885	3898
163	1896	3885
